Course,TA,Roll No
CS101,76,194050015
CS101,76,22m0760
CS101,76,22M0783
CS101,76,22M0750
CS101,76,22M0757
CS105,8,204050008
CS105,8,194054001
CS105,8,22M0795
CS105,8,22M0803
CS213,14,23M0807
CS213,14,23D0374
CS213,14,21Q050015
CS213,14,194050006
CS293,14,22m2112
CS293,14,22M0774
CS293,14,22M0784
CS293,14,21Q050006
CS293,14,22M0790
CS293,14,23M0789
CS215,8,22m0772
CS215,8,22M0754
CS224M,6,214050006
CS224M,6,194050006
CS224M,6,22M2106
CS224M,6,22M0801
CS224M,6,22M0815
CS224M,6,23M2108
CS337,13,194050012
CS337,13,22M2101
CS337,13,22M0771
CS337,13,22M0743
CS337,13,22M0802
CS337,13,22M0807
CS337,13,21Q050014
CS337,13,22M0801
CS347,25,22D0371
CS347,25,194050001
CS347,25,22D0376
CS347,25,22M0789
CS347,25,22m0758
CS347,25,22M0790
CS347,25,22M0808
CS347,25,22M0782
CS347,25,22m2113
CS347,25,22M0752
CS347,25,22M0761
CS347,25,21Q050003
CS347,25,22M2109
CS475,4,23M0764
CS475,4,21Q050015
CS475,4,23M0758
CS6001,7,22M2105
CS6001,7,22M2106
CS6001,7,194050006
CS601,5,194050006
CS602,2,194054001
CS602,2,204050008
CS604,1,23M0765
CS618,2,22D0364
CS618,2,22M0778
CS618,2,22m0767
CS626,7,23M0811
CS626,7,22D0367
CS626,7,23M0782
CS626,7,21Q050004
CS626,7,23M0755
CS626,7,22M0801
CS626,7,21Q050014
CS626,7,194050006
CS626,7,22M0789
CS626,7,22M0743
CS626,7,23M2112
CS626,7,22M0765
CS626,7,22M0806
CS631,3,204050001
CS631,3,22M0744
CS631,3,22M0815
CS631,3,22m2107
CS631,3,22M0808
CS683,3,21Q050007
CS683,3,22M0759
CS699,7,214050006
CS699,7,23M0758
CS699,7,22m0767
CS699,7,22M0777
CS699,7,22m2112
CS699,7,22M2110
CS699,7,22M0821
CS699,7,22M0781
CS725,8,194053001
CS725,8,22m0758
CS725,8,22m0772
CS725,8,21Q050015
CS725,8,22m0742
CS725,8,22M0754
CS725,8,22M0750
CS725,8,22M0804
CS742,4,194054001
CS742,4,22M0789
CS742,4,22m0800
CS742,4,23D0362
CS742,4,22M0770
CS744,5,22D0376
CS744,5,22D0361
CS744,5,22M2115
CS744,5,22M0782
CS744,5,22m2113
CS744,5,22M0752
CS744,5,22M0761
CS747,9,194050010
CS747,9,23M0773
CS747,9,22D0368
CS758,1,194050006
CS770,3,204050010
CS770,3,22M0810
CS770,3,22M2114
CS770,3,23M0787
CS771,1,23M0777
