Course,Roll No
CS152,214050005
CS310,23M0778
DeptWork,204050003
CS154,22D0377
CS207,23M0801
CS154,214050007
CS230,23M0814
CS101,22M0788
CS152,214050006
CS101,22M0765
CS337,22M0807
CS310,23M0769
CS101,22M0813
CS101,23M2101
CS101,22M0806
CS101,22M0792
CS215,23M0795
CS101,23M2105
CS663,23M0748
CS154,23D0362
CS224M,23M0765
CS725,22M0766
CS207,23M0799
CS101,22M0798
CS101,22m0760
CS101,22m0772
DeptWork,194052001
CS232,23M0786
CS215,23M0768
CS232,23M0810
CS152,204050001
CS725,22M0779
CS101,21Q050010
CS101,21Q050001
CS347,22M0752
CS207,23M0806
CS101,22M0755
CS310,23M0779
CS101,22M2108
CS218M,23M0747
CS215,23M0763
CS152,22D0362
CS747,194050010
CS152,22D0367
CS101,22M0776
CS337,21Q050014
CS228M,23M0813
CS232,23M0788
CS207,23M0820
CS228M,23M0821
CS154,194050004
CS154,23d0373
CS230,23M0754
CS781,21Q050012
CS224M,23M0797
CS101,23M2104
CS663,23M0743
CS213,23D0374
CS6001,22M2106
CS747,22D0368
CS101,22M0814
CS101,194050015
CS215,23M0752
CS337,22M2101
CS213,194050006
CS230,23M0753
CS101,22M0749
InstiWebteam,22D0361
CS347,22D0371
CS228M,23M0798
CS347,22M0790
CS101,23M2108
CS310,23M0775
CS741,22M2111
CS101,21Q050008
CS347,22M0782
CS218M,23M0794
CS154,194050011
CS101,21Q050017
CS154,23D0381
CS105,204050008
BodhiTree,204050010
CS101,22M0791
CS152,194050014
CS101,22M0783
CS230,23M0812
CS152,194050002
CS101,22M0744
CS101,22M0751
CS293,22M0784
CS101,22M0769
CS101,22M0763
CS152,214050008
CS347,22M0808
CS101,22m0809
CS101,22m0756
CS154,23D0365
CS101,22M0812
CS152,194050003
CS215,23M0784
CS347,22M0789
CS337,194050012
CS347,22m2113
SysadTA,204050004
CS310,23M0770
CS152,22D0366
CS213,23M0807
SysadTA,194050013
CS215,23M0774
CS602,23M0767
CS101,22M0787
CS614,23M0759
CS101,22M0799
CS215,23M0744
CS230,23M0756
CS105,22M0795
CS232,23M0809
CS768,22M0770
CS347,22m0758
CS663,23M0751
CS101,21Q050004
CS232,23M0808
CS347,22M2109
CS101,22M0764
CS604,23M0761
CS725,22m0767
CS475,23M0758
CS101,23M2102
CS725,22M0817
CS215,23M0803
CS218M,23M0755
CS230,23M0811
CS232,23M0805
CS232,23M0793
CS101,22M0753
CS101,22M0741
CS101,22M0815
CS683,22M0759
CS154,214050009
CS232,23M0802
CS293,22M0774
CS207,23M0771
CS154,22D0382
CS758,22m0800
CS101,22M2114
CS101,21Q050005
CS774,21Q050016
CS101,22M0821
CS310,23M0782
CS101,22M0811
CS101,23M2109
CS230,23M0818
CS101,22M0816
CS228M,23M0741
CS101,22m0829
CS6001,22M2105
CS747,23M0773
CS207,23M0796
CS101,22m0747
CS101,22M0762
DeptWork,22M2110
CS101,22M0778
CS224M,23M0819
CS337,22M0743
CS230,23M0772
CS230,23M0815
CS101,22M0773
CS101,23M2110
CS101,22M0777
CS725,23M0742
CS347,21Q050003
CS725,22M2115
CS310,23M0777
CS101,22M0804
CS152,22D0363
CS101,22M0748
CS101,22M2104
CS213,21Q050015
CS230,23M0816
CS293,22m2112
BodhiTree,214050004
CS232,23M0785
CS152,214050010
KVportal,22D0369
CS101,23M2107
CS154,23D0364
CS101,22M0750
CS101,23M2103
CS101,22m0780
CS228M,23M0791
CS101,22m0745
CS663,23M0746
CS101,22M2103
CS105,22M0803
CS207,23d0361
CS224M,23M0776
CS224M,23M0749
CSEWebteam,194053001
CS207,23M0781
CS101,22M0754
CS101,22M0793
CS218M,23M0762
CS232,23M0804
CS337,22M0801
CS347,194050001
CS232,23M0792
CS154,23D0366
CS105,194054001
CS154,23D0363
CS337,22M0771
CS347,22D0376
CS224M,23M0800
CS230,23M0760
CS232,23M0787
CS725,22M0810
CS635,23M0757
CS602,23M0766
CS101,22m0796
CS683,21Q050007
CS101,22M0781
CS771,22m0742
CS101,22M0757
CS230,23M0817
CS230,23M0783
CS725,22M0746
CS101,23M2106
CS293,23M0789
CS310,23M0780
CS101,22m2107
CS293,21Q050006
CS663,23M0750
CS232,23M0790
CSEWebteam,204050007
CS337,22M0802
CS475,23M0764
CS101,23M2112
CS101,21Q050009
CS347,22M0761
CS152,22D0364
CS663,23M0745
